"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"82","066570","LG전자","KOSPI","전기전자",143000,-5000,-3.38,23401637402000
"83","066575","LG전자우","KOSPI","전기전자",68100,-1400,-2.01,1170366055200
"84","108670","LG하우시스","KOSPI","화학",80900,1100,1.38,725484503000
"85","108675","LG하우시스우","KOSPI","화학",37700,250,0.67,38918841000
"86","037560","LG헬로비전","KOSPI","서비스업",4675,135,2.97,362064093875
"87","051910","LG화학","KOSPI","화학",802000,14000,1.78,56615059086000
"88","051915","LG화학우","KOSPI","화학",372000,6500,1.78,2860233600000
"89","079550","LIG넥스원","KOSPI","기계",38650,150,0.39,8.503e+11
"90","006260","LS","KOSPI","기타금융",66000,2200,3.45,2.1252e+12
"91","010120","LS ELECTRIC","KOSPI","전기전자",59600,1100,1.88,1.788e+12
"92","000680","LS네트웍스","KOSPI","유통업",2820,10,0.36,222224505120
"93","229640","LS전선아시아","KOSPI","기타금융",7670,-30,-0.39,234892821930
"94","023150","MH에탄올","KOSPI","음식료품",8640,160,1.89,63750464640
"95","035420","NAVER","KOSPI","서비스업",383000,3000,0.79,62912880285000
"96","181710","NHN","KOSPI","서비스업",71900,300,0.42,1406725297500
"97","005940","NH투자증권","KOSPI","증권",11500,100,0.88,3236202200500
"98","005945","NH투자증권우","KOSPI","증권",9130,-10,-0.11,172291937840
"99","338100","NH프라임리츠","KOSPI","서비스업",4390,70,1.62,81917400000
"100","034310","NICE","KOSPI","서비스업",17100,0,0,647787330000
"101","008260","NI스틸","KOSPI","철강금속",3390,-15,-0.44,96954396630
"102","004250","NPC","KOSPI","화학",4250,-50,-1.16,1.5606e+11
"103","004255","NPC우","KOSPI","화학",2355,5,0.21,12434400000
"104","010060","OCI","KOSPI","화학",111000,-2000,-1.77,2647280181000
"105","005490","POSCO","KOSPI","철강금속",318000,9500,3.08,27725413530000
"106","010950","S-Oil","KOSPI","화학",81300,2100,2.65,9152980989600
"107","010955","S-Oil우","KOSPI","화학",45800,650,1.44,184204256600
"108","034120","SBS","KOSPI","서비스업",21700,-300,-1.36,396081029400
"109","101060","SBS미디어홀딩스","KOSPI","서비스업",1920,-5,-0.26,268600684800
"110","005090","SGC에너지","KOSPI","전기가스업",38500,-300,-0.77,565064654000
"111","004060","SG세계물산","KOSPI","유통업",707,4,0.57,143114446720
"112","001380","SG충방","KOSPI","운수장비",2700,70,2.66,121403186100
"113","002360","SH에너지화학","KOSPI","화학",918,4,0.44,102020764140
"114","009160","SIMPAC","KOSPI","기계",3280,145,4.63,214608812480
"115","123700","SJM","KOSPI","운수장비",3990,-10,-0.25,62263543020
"116","025530","SJM홀딩스","KOSPI","유통업",3430,-40,-1.15,51223647440
"117","034730","SK","KOSPI","기타금융",275500,19500,7.62,19384261823500
"118","011790","SKC","KOSPI","화학",122000,1000,0.83,4619932356000
"119","018670","SK가스","KOSPI","유통업",106000,1000,0.95,978405864000
"120","001740","SK네트웍스","KOSPI","유통업",5580,30,0.54,1384887070260
"121","001745","SK네트웍스우","KOSPI","유통업",107500,1000,0.94,12217160000
"122","006120","SK디스커버리","KOSPI","기타금융",65200,3600,5.84,1241268146000
"123","006125","SK디스커버리우","KOSPI","기타금융",46700,1550,3.43,63439848500
"124","210980","SK디앤디","KOSPI","서비스업",37050,250,0.68,703585576200
"125","068400","SK렌터카","KOSPI","서비스업",10400,-150,-1.42,491772736000
"126","302440","SK바이오사이언스","KOSPI","의약품",132000,-4000,-2.94,1.0098e+13
"127","326030","SK바이오팜","KOSPI","서비스업",104000,-500,-0.48,8.144578e+12
"128","03473K","SK우","KOSPI","기타금융",251000,13000,5.46,142099885000
"129","096770","SK이노베이션","KOSPI","화학",209000,1500,0.72,19325302876000
"130","096775","SK이노베이션우","KOSPI","화학",153500,1500,0.99,191633391000
"131","001510","SK증권","KOSPI","증권",853,9,1.07,403119415863
"132","001515","SK증권우","KOSPI","증권",4590,50,1.1,17958439260
"133","285130","SK케미칼","KOSPI","화학",270000,5000,1.89,3170176920000
"134","28513K","SK케미칼우","KOSPI","화학",127000,2500,2.01,185251090000
"135","017670","SK텔레콤","KOSPI","통신업",274000,20500,8.09,22124324814000
"136","000660","SK하이닉스","KOSPI","전기전자",135000,2000,1.5,98280319275000
"137","064960","SNT모티브","KOSPI","운수장비",61000,800,1.33,892011296000
"138","100840","SNT에너지","KOSPI","기계",17400,-150,-0.85,130616771400
"139","003570","SNT중공업","KOSPI","운수장비",7440,70,0.95,247400065680
"140","036530","SNT홀딩스","KOSPI","기타금융",19400,0,0,316295388400
"141","005610","SPC삼립","KOSPI","음식료품",72500,500,0.69,625603152500
"142","011810","STX","KOSPI","유통업",6100,360,6.27,120334102200
